Date.Time	Lon	Lat	ARS			
6/11/2009 4:34	78.0350189	-48.4477081	0			
6/11/2009 4:55	78.048584	-48.4531364	0			
6/11/2009 5:15	78.0600586	-48.4575539	0			
6/11/2009 5:37	78.0793381	-48.4602814	0			
6/11/2009 5:59	78.09198	-48.4621277	0			
6/11/2009 6:19	78.1053391	-48.4628334	0			
6/11/2009 6:41	78.1219711	-48.4553795	0			
6/11/2009 7:02	78.1348419	-48.4543762	0			
6/11/2009 7:45	78.1718979	-48.4607964	0			
6/11/2009 8:05	78.1793671	-48.4645157	0			
6/11/2009 9:03	78.2149734	-48.4680481	0			
6/11/2009 9:24	78.2305603	-48.4686813	0			
6/11/2009 9:49	78.2470779	-48.4671402	0			
6/11/2009 11:11	78.306015	-48.4674644	0			
6/11/2009 11:31	78.3205872	-48.4659576	0			
6/11/2009 11:52	78.3359146	-48.4666748	0			
6/11/2009 12:28	78.365036	-48.4667091	0			
6/11/2009 12:50	78.382637	-48.4687805	0			
6/11/2009 13:11	78.4008865	-48.4762573	0			
6/11/2009 13:32	78.4224854	-48.4828377	0			
6/11/2009 13:52	78.4419785	-48.4894104	0			
6/11/2009 14:27	78.4795074	-48.5010452	0			
6/11/2009 14:48	78.4979553	-48.5077744	0			
6/11/2009 15:08	78.520462	-48.5136948	0			
6/11/2009 15:28	78.5371323	-48.5175247	0			
6/11/2009 17:05	78.634346	-48.5473557	0			
6/11/2009 17:40	78.6744156	-48.5562744	0			
6/11/2009 18:01	78.6976929	-48.5620537	0			
6/11/2009 18:37	78.7450409	-48.5743446	0			
6/11/2009 18:58	78.7693024	-48.579525	0			
6/11/2009 19:18	78.791626	-48.5848122	0			
6/11/2009 19:38	78.8115005	-48.5888329	0			
6/11/2009 20:12	78.8490524	-48.6010284	0			
6/11/2009 20:33	78.8706284	-48.608593	0			
6/11/2009 21:11	78.9177628	-48.6240578	0			
6/11/2009 21:33	78.9381866	-48.6285667	0			
6/11/2009 22:02	78.9609451	-48.6345177	0			
7/11/2009 0:01	79.0886002	-48.6732864	0			
7/11/2009 2:39	79.2348099	-48.719326	0			
7/11/2009 3:02	79.2572021	-48.7252312	0			
7/11/2009 3:24	79.2785492	-48.7307854	0			
7/11/2009 4:07	79.3198471	-48.7420616	0			
7/11/2009 5:15	79.3839722	-48.7662086	0			
7/11/2009 5:36	79.4059906	-48.7718124	0			
7/11/2009 6:17	79.438942	-48.7881088	0			
7/11/2009 7:00	79.4853897	-48.7967796	0			
7/11/2009 7:20	79.511879	-48.8000793	0			
7/11/2009 8:02	79.556015	-48.8075867	0			
7/11/2009 8:24	79.5758362	-48.8114738	0			
7/11/2009 10:16	79.6784363	-48.8444672	0			
7/11/2009 10:37	79.6966248	-48.8490753	0			
7/11/2009 11:16	79.7307663	-48.8570061	0			
7/11/2009 11:36	79.7462234	-48.8599739	0			
7/11/2009 11:58	79.761261	-48.8654213	0			
7/11/2009 12:18	79.776741	-48.871727	0			
7/11/2009 13:43	79.8323364	-48.8980751	0			
7/11/2009 14:25	79.8644867	-48.8982773	0			
7/11/2009 14:46	79.8821259	-48.9037971	0			
7/11/2009 16:39	79.972168	-48.9274864	0			
7/11/2009 17:01	79.9852676	-48.9246178	0			
7/11/2009 17:53	80.0051956	-48.9391785	0			
7/11/2009 20:16	80.0962372	-48.9807167	0			
7/11/2009 21:24	80.1096573	-48.9958038	0			
7/11/2009 23:36	80.1679764	-49.0170593	0			
8/11/2009 3:16	80.3178482	-49.0502663	0			
8/11/2009 3:39	80.3303528	-49.0550995	0			
8/11/2009 4:02	80.3431854	-49.06073	0			
8/11/2009 4:25	80.3583832	-49.064537	0			
8/11/2009 5:30	80.4074936	-49.0729752	1			
8/11/2009 6:14	80.4391479	-49.0778046	1			
8/11/2009 7:02	80.467804	-49.0854568	1			
8/11/2009 9:32	80.576561	-49.1052284	1			
8/11/2009 10:12	80.6002884	-49.1074448	1			
8/11/2009 11:16	80.6527634	-49.1194496	1			
8/11/2009 11:54	80.6792755	-49.1211891	1			
8/11/2009 12:17	80.6963348	-49.1244354	1			
8/11/2009 12:57	80.7206421	-49.1305466	1			
8/11/2009 13:54	80.7590637	-49.1418381	1			
8/11/2009 15:13	80.8177719	-49.1585464	1			
8/11/2009 18:31	80.9703598	-49.2033386	1			
8/11/2009 19:53	81.0382462	-49.2143097	1			
8/11/2009 20:31	81.0743561	-49.2196732	1			
8/11/2009 21:12	81.109726	-49.2254944	1			
9/11/2009 2:55	81.4359894	-49.2868919	1			
9/11/2009 8:28	81.7801895	-49.3228912	1			
9/11/2009 9:07	81.8219986	-49.3238716	1			
9/11/2009 10:33	81.8740311	-49.323719	1			
9/11/2009 11:07	81.8999405	-49.3240051	1			
9/11/2009 12:54	81.9637833	-49.3402786	1			
9/11/2009 15:51	82.1126099	-49.3633728	1			
9/11/2009 17:47	82.2104874	-49.3651848	1			
9/11/2009 18:46	82.2505569	-49.3632927	1			
9/11/2009 20:16	82.3053894	-49.3556252	1			
9/11/2009 21:15	82.3422089	-49.3465958	1			
10/11/2009 2:03	82.5110855	-49.3505096	1			
10/11/2009 2:45	82.5400772	-49.3535042	1			
10/11/2009 5:06	82.5923615	-49.3571053	1			
10/11/2009 5:30	82.6044617	-49.3605766	1			
10/11/2009 6:20	82.634407	-49.3657761	1			
10/11/2009 6:40	82.6446609	-49.3675919	1			
10/11/2009 7:29	82.6733246	-49.3751793	1			
10/11/2009 8:16	82.6998978	-49.3867989	1			
10/11/2009 8:39	82.7125092	-49.3929367	1			
10/11/2009 9:04	82.7293015	-49.3918915	1			
10/11/2009 9:48	82.7540512	-49.3973007	1			
10/11/2009 11:09	82.7948685	-49.409668	1			
10/11/2009 11:32	82.807724	-49.4128342	1			
10/11/2009 13:47	82.861351	-49.4130287	1			
10/11/2009 14:09	82.8679733	-49.4121208	1			
10/11/2009 14:45	82.8795166	-49.4118156	1			
10/11/2009 16:15	82.90625	-49.404026	1			
10/11/2009 17:11	82.9063339	-49.4166679	1			
10/11/2009 17:49	82.9094391	-49.430233	1			
10/11/2009 18:43	82.9295502	-49.4349403	1			
10/11/2009 19:44	82.9531784	-49.447834	1			
10/11/2009 21:21	82.9914474	-49.4682083	1			
10/11/2009 21:42	82.9930878	-49.471283	1			
11/11/2009 2:16	83.0598297	-49.5061493	1		83.22769166	-49.59490613
11/11/2009 6:28	83.0990753	-49.5348816	1			
11/11/2009 7:15	83.1119232	-49.5470695	1			
11/11/2009 7:38	83.1187057	-49.5479088	1			
11/11/2009 8:02	83.1265488	-49.5513268	1			
11/11/2009 8:23	83.1345291	-49.5556183	1			
11/11/2009 11:01	83.1965256	-49.5723801	1			
11/11/2009 11:22	83.2045288	-49.5774994	0			
11/11/2009 11:46	83.2118073	-49.5823669	0			
11/11/2009 13:45	83.2573547	-49.6094933	0			
11/11/2009 17:51	83.3684235	-49.6703262	0			
11/11/2009 18:55	83.3974686	-49.6778183	0			
11/11/2009 19:38	83.4211655	-49.681221	0			
11/11/2009 21:28	83.4797974	-49.7146263	0			
12/11/2009 3:26	83.6846848	-49.7853012	0			
12/11/2009 4:14	83.7199402	-49.7840919	0			
12/11/2009 4:36	83.7288513	-49.7793541	0			
12/11/2009 5:14	83.7427063	-49.776638	0			
12/11/2009 5:34	83.7479553	-49.7783852	0			
12/11/2009 5:55	83.7409744	-49.7792473	0			
12/11/2009 6:34	83.7414627	-49.7806053	0			
12/11/2009 7:14	83.7488174	-49.7839737	0			
12/11/2009 7:35	83.7627335	-49.7817345	0			
12/11/2009 7:55	83.7674637	-49.7811661	0			
12/11/2009 8:15	83.7730331	-49.7798958	0			
12/11/2009 9:50	83.8028183	-49.7717094	0			
12/11/2009 10:10	83.8115921	-49.7722206	0			
